screen_name,text,date,favorite_count,retweet_count,location
CMARTYLUSO1,RT @F_Desouche: Selena Gomez accusée de manquer de #respect à l’hindouisme et à l'islam à cause de ses #photos pour #PUMA https://t.co/YhKv…,2019-11-30 05:39:29,0,48,FILS DE GAIA
dieu_xavier,RT @F_Desouche: Selena Gomez accusée de manquer de #respect à l’hindouisme et à l'islam à cause de ses #photos pour #PUMA https://t.co/YhKv…,2019-11-30 05:37:22,0,48,
pressnewsphotos,RT @F_Desouche: Selena Gomez accusée de manquer de #respect à l’hindouisme et à l'islam à cause de ses #photos pour #PUMA https://t.co/YhKv…,2019-11-30 05:36:55,0,48,
nememparlezpas,RT @F_Desouche: Selena Gomez accusée de manquer de #respect à l’hindouisme et à l'islam à cause de ses #photos pour #PUMA https://t.co/YhKv…,2019-11-30 05:36:16,0,48,Thaïlande 
Nouveaux_Poppys,RT @F_Desouche: Selena Gomez accusée de manquer de #respect à l’hindouisme et à l'islam à cause de ses #photos pour #PUMA https://t.co/YhKv…,2019-11-30 05:36:15,0,48,
F_Desouche,Selena Gomez accusée de manquer de #respect à l’hindouisme et à l'islam à cause de ses #photos pour #PUMA… https://t.co/Tc4jU0MWmC,2019-11-30 05:33:37,55,48,France
e_li_s_e,RT @BTS_twt: 추운날씨엔 역시 #푸마 #puma https://t.co/Z3JbByZ6ay,2019-11-30 05:28:15,0,40684,
StoneBankzNMG,@kylekuzma out here hooping ing these cheap low top @PUMA bout to break his ankles...betta tell #Puma to make you s… https://t.co/JMz4mJYRmP,2019-11-30 05:27:21,0,0,Grinding keeping the Bag comin
iamkinggbee,"#Puma #pumasports #Melanin #aspiringmodel
#model https://t.co/Nlr3n9AMDC",2019-11-30 05:26:05,1,0,
NoticiasyPolit,"RT @ppavel77: #FelizViernes #Puma #LeónDeMontaña en el Área Destinada Voluntariamente a la Conservación “Lacandoo-Cruz”, San Pablo Villa de…",2019-11-30 05:20:47,0,52,
Taakzzyong,"ไม่มีอะไรจะพูด นอกจากคำว่า หล่อมาก 😍
#หยางหยาง #YANGYANG #Puma https://t.co/ZE95WlfXLv",2019-11-30 05:13:17,8,0,
JawwadPak,"RT @PSCupdates: 🎄 Christmas shopping? 🎄

Make sure to #BoycottPuma
as long as they sponsor the Israeli Football Association, which includes…",2019-11-30 05:04:48,0,43,"North-west Frontier, Pakistan"
Sachiel_Drive,RT @kyo_akiyama: #川崎フロンターレ #新ユニ2020 #Jリーグ #frontale #PUMA https://t.co/tSTKx2ouhV,2019-11-30 05:01:45,0,8,衛星基地 エイダス
Rubn92242703,"RT @ppavel77: #FelizViernes #Puma #LeónDeMontaña en el Área Destinada Voluntariamente a la Conservación “Lacandoo-Cruz”, San Pablo Villa de…",2019-11-30 04:58:39,0,52,
kuonsan_noaka,RT @kyo_akiyama: #川崎フロンターレ 2020シーズン新ユニフォーム！ #新ユニ2020 #Jリーグ #frontale #PUMA https://t.co/izCCSj4GVj,2019-11-30 04:55:38,0,10,横浜とかいうとこ
vlx_1919,RT @kyo_akiyama: #川崎フロンターレ #新ユニ2020 #Jリーグ #frontale #PUMA https://t.co/tSTKx2ouhV,2019-11-30 04:55:24,0,8,神奈川の県北
