screen_name,text,date,favorite_count,retweet_count,location
VIP_YuRi_ARMY,"RT @_m8gd: ❁❁❁ NIKE x G-DRAGON ❁❁❁

#AIRFORCE1 #ALLFOR1 #AF1PARANOISE 
#GD #GDRAGON #PEACEMINUSONE https://t.co/YNrJW7OWx9",2019-11-22 14:40:30,0,7,
JUFROZENWATER,#New #heat inroute. #create #customkicks #airforce1 #angelusheritage #instaartist #kik #customnikes #custommade… https://t.co/eACuKBWovN,2019-11-22 14:40:20,0,0,"LANCASTER, PA"
kwonjy0,"RT @always_gd: nike 
Sponsored

[AF1 PARA-NOISE UTOPIA 캠페인 사이트 오픈] 

지드래곤의 창의성과 영감을 바탕으로 탄생한 에어 포스 1 파라-노이즈의 스토리를 직접 만나보세요! ALL FOR 1

#AIR…",2019-11-22 14:36:27,0,152,
b1urger,"ขาย Air Force 1 x Travis Scott
Cactus Jack
SIZE 10US
ของแท้ ป้ายไทย ของใหม่
นัดรับได้ใน กทม
23,500 บาท
Line id : bl… https://t.co/EzVpuPeMfz",2019-11-22 14:35:23,0,0,"Bangkok, Thailand"
nasebanarusa,"RT @wwd_jp: 【明日発売】G-DRAGONが「ナイキ」とのコラボ“エア フォース 1”を発表　アッパーが徐々に剥がれ落ちる特別仕様
https://t.co/iJ0nsf16OT
#NIKE #GDRAGON #AirForce1",2019-11-22 14:28:27,0,8,Japan 阿波っ子
oishinbo1215,"RT @wwd_jp: 【明日発売】G-DRAGONが「ナイキ」とのコラボ“エア フォース 1”を発表　アッパーが徐々に剥がれ落ちる特別仕様
https://t.co/iJ0nsf16OT
#NIKE #GDRAGON #AirForce1",2019-11-22 14:23:08,0,8,
stoddard38,"#CongressionalAppropriationsCommittee  As a taxpayer, I ask that you reject payments of bills from @POTUS that shou… https://t.co/G35e06UqEG",2019-11-22 14:20:44,0,0,"New York, NY"
thesphinxisblac,RT @bodega: Nike Air Force 1 Type available now online at Bodega - https://t.co/S19W7WhElo #nike #airforce1 #bodega #bdgastore https://t.co…,2019-11-22 14:20:28,0,4,"Bronx, NY"
gggdragon5,"RT @gtop_youlike: peaceminusone’s Instagram Posted 💖 191122

PMO X NIKE AF1 PARANOISE

#AIRFORCE1 #ALLFOR1 #AF1PARANOISE

#지디 #지드래곤 #GD #GD…",2019-11-22 14:17:38,0,24,เฝ้าเพนชั่นอยู่กับกาโฮ
ReneetheG,"Don't forget!!! Sat. Dec 7th!! 
@iam_mali hosts the next  @earthgirlatl soiree at @finishline complete with @nike… https://t.co/qMOAbv6rqK",2019-11-22 14:13:16,0,0,
VietnamSneakerG,RT @bodega: Nike Air Force 1 Type available now online at Bodega - https://t.co/S19W7WhElo #nike #airforce1 #bodega #bdgastore https://t.co…,2019-11-22 14:11:47,0,4,"Ho Chi Minh, Vietnam"
superayucool,"RT @wwd_jp: 【明日発売】G-DRAGONが「ナイキ」とのコラボ“エア フォース 1”を発表　アッパーが徐々に剥がれ落ちる特別仕様
https://t.co/iJ0nsf16OT
#NIKE #GDRAGON #AirForce1",2019-11-22 14:11:28,0,8,テギョンのへそ。
