screen_name,text,date,favorite_count,retweet_count,location
HeelFrancesco,"RT @Gabratta: Comunque oggi è il giorno di #FootballManager2020 e l'unica cosa che dirò è...SBRIGATEVI CON I DATABASE DALLA SERIE D IN GIÙ,…",2019-11-19 09:26:34,0,1,"Sicilia, Italia"
elcorteingles,RT @EspVideojuegos: Es el momento de demostrar que eres el mejor entrenador para tu equipo. 📋⚽️ ¡Ya a la venta #FootballManager2020 en @elc…,2019-11-19 09:24:58,0,2,
FmLoad,"RT @FmLoad: It's episode 5 of my #FM20Beta save with @LutonTown. We're back to face @premierleague opposition, as we head to @afcbournemout…",2019-11-19 09:22:00,0,3,
FmLoad,"RT @FmLoad: It's Season 2 Episode 5 of my #FM20 story, with @DorkingWDRS. Today, we play title chasing @DulwichHamletFC in the @TheVanarama…",2019-11-19 09:21:53,0,2,
KochMedia_es,RT @EspVideojuegos: Es el momento de demostrar que eres el mejor entrenador para tu equipo. 📋⚽️ ¡Ya a la venta #FootballManager2020 en @elc…,2019-11-19 09:21:52,0,2,España
EspVideojuegos,Es el momento de demostrar que eres el mejor entrenador para tu equipo. 📋⚽️ ¡Ya a la venta #FootballManager2020 en… https://t.co/lIKIuQiYnn,2019-11-19 09:21:17,2,2,
spudbuster7,"@FootballManager #FootballManager2020 #FM20ReleaseDay 
Literally given up playing it for today please have a fix by… https://t.co/zfRBerAHkw",2019-11-19 09:19:37,1,0,"England, United Kingdom"
thompsett_matt,Happy #FootballManager2020 day #FM20ReleaseDay,2019-11-19 09:13:55,1,0,"Malton, England"
Gabratta,Comunque oggi è il giorno di #FootballManager2020 e l'unica cosa che dirò è...SBRIGATEVI CON I DATABASE DALLA SERIE… https://t.co/3vbgwjt9ih,2019-11-19 09:12:32,1,1,The Riff Filled Land formerly known as Agrigento
GAMEKiddy,"Football Manager 2020 is OUT NOW on PC!
Grab a copy in-store today!

Remember! Football games are cheaper when you… https://t.co/IdOW8Xhat5",2019-11-19 09:11:15,0,0,"1 Coventry Street, Kiddy"
_H4RT_,"@FootballManager 2020 is OUT. That’s the mobile version installed already... no more boredom for me, for a SUBSTANT… https://t.co/IEp2XXnVnM",2019-11-19 08:59:58,0,0,"England, United Kingdom"
TURO_arcade,Attends mais c’est la sortie de #FootballManager2020 aujourd’hui! Tradition oblige j’ai repris le combo FM20 Mobile… https://t.co/zVagLAuKEA,2019-11-19 08:57:01,0,0,"Paris, France"
jack_ruthers,#FootballManager2020 launch day BABY😍😍😍,2019-11-19 08:41:11,0,0,"Dublin City, Ireland"
__Erwan__,Quel équipe pour commencer sur FM 2020 ? #FootballManager2020,2019-11-19 08:36:20,0,0,"Rouen, France"
cdChicasGamers,"Ya está disponible #FootballManager2020 en todas sus versiones:

Football Manager 2020 (para PC y Mac), Football Ma… https://t.co/cscrlXTeV7",2019-11-19 08:36:08,1,0,"Madrid, España"
Fozzer95,"RT @MadScientistFM: 📢 BIG ANNOUNCEMENT 👀

Coming this season for FM20 ⚽️

The 2006/07 DB 💾

Check out the trailer 👇

https://t.co/pLcWvmf6v…",2019-11-19 08:30:31,0,16,The Fortress of Solitude
Iam_Jyde,RT @iam_TUNADEZ: Any link to download #FootballManager2020 ?,2019-11-19 08:22:22,0,1,ILORIN
sibonski,To buy #FootballManager2020 or not ??,2019-11-19 08:18:09,1,0,"Ealing, London"
TYgmfTY,"#FootballManager2020 #FM20 
@OfficialASRoma için transfer adaylarını  yorumlarda belirtelim",2019-11-19 08:17:21,0,0,
gafferwoodsy85,Well I suppose this will have to do for now #FootballManager2020 #FreeAgent 😂 https://t.co/SIHxUmtVLH,2019-11-19 08:16:26,10,1,"Epsom, South East"
TYgmfTY,Vize sonrası @OfficialASRoma yı şampiyon yapma yolunda ilk adım atıldı.#FootballManager2020 #FM20 https://t.co/LsGd00Bw9k,2019-11-19 08:15:24,0,0,
NaterRapha,"Caption this 👇🏼👇🏼

Me- Abeg bite your defenders make I go score nah

#chickenrepublic #FootballManager2020 #Ghana… https://t.co/Nplm2fjkud",2019-11-19 08:10:09,0,0,"Abuja, Nigeria"
stianblank,#FootballManager2020 official release on my birthday. Can't get much better than this!,2019-11-19 08:09:51,0,0,Norway
Kelvintawandas1,"RT @DanSandberg95: 💷Football manager 2020 Giveaway
❤️Like this tweet
👥Follow me
      RT this tweet

✍️Then you have a chance to win a COPY…",2019-11-19 08:08:09,0,70,
masonb9,Still time to vote @KTFCOfficial @DorkingWDRS @CurzonAshton @altrinchamfc @FootballManager #fm20 #FootballManager2020 #llm ⚽️👌,2019-11-19 08:01:35,0,0,Leicester
iam_TUNADEZ,Any link to download #FootballManager2020 ?,2019-11-19 07:57:10,1,1,
Gametivi,"Í dag kemur út #FootballManager2020 munu þið verða óvænt lasinn í dag eftir að þið eruð komin með leikinn? 

Okkur… https://t.co/VDfFq9pYCA",2019-11-19 07:56:23,2,0,Iceland
